UniqueAccession,Climate_relationship,Actual_Extreme_Event,DistalEvent_Type,DistalEvent_EventName,ProximateEvent_Type,ProximateEvent_Duration,ProximateEvent_SpatialExtent,DistalEvent_ReturnTime,Latitude (decimal degrees),Longitude (decimal degrees),Continent/Ocean,Country,ProximateEvent_MonthYearStart (MMYYYY),Type_system ,System_Name,Sampling_MonthYearStart (MMYYYY),Sampling_Duration_Before,Sampling_Duration_During,Sampling_Duration_After,Continuous Monitoring Prior,SamplingUnit_SpatialExtent,ReplicateSamples,Study_SpatialExtent,Extreme_Definition,"NOTE: AT THIS POINT YOU SHOULD CONSIDER ADDING MULTIPLE ROWS FOR A STUDY IF THE AUTHORS FOCUSED ON MORE THAN ONE BIOLOGICAL, CHEMICAL, OR PHYSICAL RESPONSE",BiologicalResponseMeasured,BiologicalResponse_OrganismalGroup,BiologicalResponse_TrophicLevel,BiologicalResponse_Direction,BiologicalResponse_EffectSize,BiologicalResponse_Significance,BiologicalResponse_RawData_PublicallyAvailable,PhysicalResponseCategory,PhysicalResponseMeasured,PhysicalResponse_ParameterMeasured,PhysicalResponse_Direction,PhysicalResponse_EffectSize,PhysicalResponse_Significance,PhysicalResponse_RawData_PublicallyAvailable,ChemicalResponse_Category,ChemicalResponse_Measured,ChemicalResponse_ElementMaterial_Measured,ChemicalResponse_Direction,ChemicalResponse_EffectSize,ChemicalResponse_Significance,ChemicalResponse_RawData_PublicallyAvailable,Comment,second reader,Exclude
1,N,Y,Drought,,Drought,years,Regional/Continent,centuries,38.79888889,-122.3147222,N. America,USA,41987,stream/river,"Hunting/Knoxville Creeks, Big Sulfur Creeks",1984,years,years,years,Y,<1 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,stability and persistence,invertebrates,secondary consumers,multidirectional,large - sig not tested,no response,N,sediment,sediment,,increase,,,N,,,,,,,,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.","I'm pretty sure the first month of benthic data collection was April (at HKC; May at Big Sulphur Creek), so I added April. Maybe replace ""community composition"" with stability and persistance as responses (they would be multidirectional, because increase after drought in 1st order but decrease in 2-,3-order). I also didn't know what to say for the effect size, so added ""unclear"". Would probably put ""Large"" for stability and persistance, but hard to say. this was a tough one since it presents so many years of data!",
1,N,Y,Drought,,Drought,years,Regional/Continent,centuries,38.79888889,-122.3147222,N. America,USA,41987,stream/river,"Hunting/Knoxville Creeks, Big Sulfur Creeks",1984,years,years,years,Y,<1 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,abundance,invertebrates,secondary consumers,increase,unspecified/unclear,no response,N,sediment,channel form,,decrease,,,N,,,,,,,,"Month not indicated for several of the parameters - only instered years, but could be changed to 01YYYY if easier for analysis.",,
2,Y,Y,Precipitation,,Flood,months,Regional/Continent,decades,29.43833158,-91.416665,N. America,USA,52011,catchment/watershed,Mississippi River basin,42011,months,months,months,N,undefined,Y,undefined,No - extreme event mentioned but not defined,,,,,,,,,,,,,,,,Solute or particle/sediment,loading or flux (mass/time or mass/surface area/time),C-DOC,increase,large - non-sig,not sig,Y,"This study was somewhat confusing, as they measured many responses and wrote many descriptions but did not indicate statistical increase/decreases. I may have missed some responses, as they were not often well-described in the methods. I also said there was a decrease in CO2 flux because it went from an influx (i.e, C sink) to efflux (i.e., C source)",This is a really confusing paper! ,
2,Y,Y,Precipitation,,Flood,months,Regional/Continent,decades,29.43833158,-91.416665,N. America,USA,52011,catchment/watershed,Mississippi River basin,42011,months,months,months,N,undefined,Y,undefined,No - extreme event mentioned but not defined,,,,,,,,,,,,,,,,Gas,loading or flux (mass/time or mass/surface area/time),C-CO2,decrease,large - non-sig,not sig,Y,,,
2,Y,Y,Precipitation,,Flood,months,Regional/Continent,decades,29.43833158,-91.416665,N. America,USA,52011,catchment/watershed,Mississippi River basin,42011,months,months,months,N,undefined,Y,undefined,No - extreme event mentioned but not defined,,metabolism,ecosystem,primary producers,increase,large - sig not tested,no response,Y,,,,,,,,,,,,,,,,,
2,Y,Y,Precipitation,,Flood,months,Regional/Continent,decades,29.43833158,-91.416665,N. America,USA,52011,catchment/watershed,Mississippi River basin,42011,months,months,months,N,undefined,Y,undefined,No - extreme event mentioned but not defined,,community composition,bacteria,NA,multidirectional,small - non-sig,not sig,Y,,,,,,,,,,,,,,,,"They do state in the results that they found a ""statistically significant increase in the bacterial populations capable of consuming DOC in regions with higher CO2 concentrations"" so I would change to ""small-sig""",
2,Y,Y,Precipitation,,Flood,months,Regional/Continent,decades,29.43833158,-91.416665,N. America,USA,52011,catchment/watershed,Mississippi River basin,42011,months,months,months,N,undefined,Y,undefined,No - extreme event mentioned but not defined,,,,,,,,,,,,,,,,Solute or particle/sediment,loading or flux (mass/time or mass/surface area/time),C-DIC,increase,large - non-sig,not sig,Y,,,
2,Y,Y,Precipitation,,Flood,months,Regional/Continent,decades,29.43833158,-91.416665,N. America,USA,52011,catchment/watershed,Mississippi River basin,42011,months,months,months,N,undefined,Y,undefined,No - extreme event mentioned but not defined,,,,,,,,,,,,,,,,Gas,concentration (mass/volume - 1 sample),C-CO2,decrease,large - non-sig,not sig,Y,,"This is kind of confusing - there was an increase in pCO2 (so the concentration of CO2 dissolved in the flood waters was higher). That made the flood waters a source, instead of a sink for CO2, which lead to degassing of CO2 from the water to the atmosphere... So the increase/decrease depends on the persepective (air vs water). I think the way the data are entered are okay but we should be careful if we do analyses with this data point ",
3,Y,Y,Drought,,Drought,years,>1000 sq m,undefined,-27.992026,32.446679,Africa,South Africa,2002,estuary,St. Lucia Estuary,72013,none,none,months,N,<1 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,foodweb structure,multiple groups,multiple trophic levels,homogenous?,unspecified/unclear,,N,,,,,,,,,,,,,,,"interesting study looking at ecosystem recovery/resiliency 3 years after an extreme drought; the typical response of increase/decrease don't really fit this study; the main result showed a recovery of food web structure post drought and that food webs were homogenous throughout the estuary, as compared to disparate during the drought; chemical responses are reported as a general statement about the current status 3 years post drought but give no indication to how they compare to values during drought",,
5,Y,N,Weather System,,Drought,years,>1000 sq m,,36.7783,-119.4179,N. America,USA,,lake,California Mountain Lakes,62014,none,single sample,none,N,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,multiple trophic levels,no response,no response,,N,,,,,,,,,,,,,,,"This one is weird, in that there isn't a particular extreme event - just precip and temperature extremes over the climate record.",,
