"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WE8IMKSA","journalArticle","2016","Maggi, Elena; Cappiello, Mario; Del Corso, Antonella; Lenzarini, Francesca; Peroni, Eleonora; Benedetti-Cecchi, Lisandro","Climate-related environmental stress in intertidal grazers: scaling-up biochemical responses to assemblage-level processes","Peerj","","2167-8359","10.7717/peerj.2533","","Background, Organisms are facing increasing levels of environmental stress under climate change that may severely affect the ftinctioning of biological systems at different levels of organization. Growing evidence suggests that reduction in body size is a universal response of organisms to global warming. However, a clear understanding of whether extreme climate events will impose selection directly on phenotypic plastic responses and how these responses affect ecological interactions has remained elusive. Methods. We experimentally investigated the effects of extreme desiccation events on antioxidant defense mechanisms of a rocky intertidal gastropod (Patella ulyssiponensis), and evaluated how these effects scaled-up at the population and assemblage levels. Results. With increasing levels of desiccation stress, limpets showed significant lower levels of total glutathione, tended to grow less and had reduced per capita interaction strength on their resources. Discussion. Results suggested that phenotypic plasticity (i.e., reduction in adults' body size) allowed buffering biochemical responses to stress to scale-up at the assemblage level. Unveiling the linkages among different levels of biological organization is key to develop indicators that can anticipate large-scale ecological impacts of climate change.","2016-10-20","2019-02-08 16:24:01","2019-03-31 19:53:00","","e2533","","","4","","PeerJ","","","","","","","","English","","","","","","","WOS:000385821100004","","/Users/lillian/Zotero/storage/Y5QT3AS4/Maggi et al. - 2016 - Climate-related environmental stress in intertidal.pdf","","coastal; heat; drought; ecology; adaptation; Antioxidant   mechanisms; Ecological scaling; evolutionary; Extreme climatic events; impacts; Interaction   strength; invertebrates; phenotypic plasticity; Phenotypic plasticity; Rocky intertidal gastropod; shifts; shores; systems; variance; downloaded by Rachel; downloaded by Alex; excluded - experimental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHGXS8TF","journalArticle","2009","Whitfield, A. K.; Taylor, R. H.","A review of the importance of freshwater inflow to the future conservation of Lake St Lucia","Aquatic Conservation-Marine and Freshwater Ecosystems","","1052-7613","10.1002/aqc.1061","","1. Lake St Lucia, the oldest formally protected estuary in the world is under threat from historic and present manipulation of freshwater supplies to the system. 2. Constraints to the functioning of the ecosystem began in 1914 with the commencement of draining and canalization of the Mfolozi Swamp to open up the swamp and river floodplain for sugar cane cultivation. Warner's Drain was completed in 1936 and the sediment filtering capability of the swamp on river floodwaters was effectively removed. This resulted in exceptionally high sediment loads from the Mfolozi River entering directly into the St Lucia system and the river was therefore diverted southwards and provided with a separate estuary mouth. This deprived St Lucia of its single largest freshwater supply. 3. During the past 50-60 years, increasing freshwater abstractions from the Mkhuze, Mzinene, Hluhluwe and Nyalazi rivers have contributed to the increasingly severe salinity extremes experienced by Lake St Lucia. In the past decade, desiccation of large areas of False Bay, North and South Lake has occurred, due primarily to natural estuary mouth closure combined with a prolonged drought and unnaturally low freshwater inflows during the closed phase. These events have pushed the system into an extreme state that has not been recorded previously and would not have occurred if Mfolozi River water had been available to the St Lucia system over this drought period. 4. Forestry plantations have further exacerbated the freshwater supply situation, although recent removal of pine plantations on the eastern and western shores of the lake are likely to help restore groundwater flows to the system. 5. This review explores the possibility of relinking the Mfolozi River, once the Mfolozi floodplain swamp has been re-established, to the St Lucia system, thereby bringing urgently needed fresh water to this threatened World Heritage Site. Copyright (C) 2009 John Wiley & Sons,. Ltd.","2009-12","2019-02-08 16:24:01","2019-03-27 01:17:41","","838-848","","7","19","","Aquat. Conserv.-Mar. Freshw. Ecosyst.","","","","","","","","English","","","","","","","WOS:000271778200012","","/Users/lillian/Zotero/storage/CLF43UYU/Whitfield and Taylor - 2009 - A review of the importance of freshwater inflow to.pdf","","coastal; drought; dynamics; salinity; south-africa; agricultural impacts; estuarine ecology; estuarine system; fish; freshwater supply; hydrology; management; mfolozi river; mouth   closure; salinities; sediments; severe drought; zululand; downloaded by Rachel; downloaded by Jenna; fresh; excluded - book chapter/review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DLMUK33Q","journalArticle","2017","Flint, Jaylene; Flint, Mark; Limpus, Colin J.; Mills, Paul C.","The impact of environmental factors on marine turtle stranding rates","Plos One","","1932-6203","10.1371/journal.pone.0182548","","Globally, tropical and subtropical regions have experienced an increased frequency and intensity in extreme weather events, ranging from severe drought to protracted rain depressions and cyclones, these coincided with an increased number of marine turtles subsequently reported stranded. This study investigated the relationship between environmental variables and marine turtle stranding. The environmental variables examined in this study, in descending order of importance, were freshwater discharge, monthly mean maximum and minimum air temperatures, monthly average daily diurnal air temperature difference and rainfall for the latitudinal hotspots (-27 degrees, -25 degrees, -23 degrees, -19 degrees) along the Queensland coast as well as for major embayments within these blocks. This study found that marine turtle strandings can be linked to these environmental variables at different lag times (3-12 months), and that cumulative (months added together for maximum lag) and non-cumulative (single month only) effects cause different responses. Different latitudes also showed different responses of marine turtle strandings, both in response direction and timing. Cumulative effects of freshwater discharge in all latitudes resulted in increased strandings 10-12 months later. For latitudes -27 degrees, -25 degrees and -23 degrees non-cumulative effects for discharge resulted in increased strandings 7-12 months later. Latitude - 19 degrees had different results for the non-cumulative bay with strandings reported earlier (3-6 months). Monthly mean maximum and minimum air temperatures, monthly average daily diurnal air temperature difference and rainfall had varying results for each examined latitude. This study will allow first responders and resource managers to be better equipped to deal with increased marine turtle stranding rates following extreme weather events.","2017-08-03","2019-02-08 16:24:01","2019-04-20 15:05:10","","e0182548","","8","12","","PLoS One","","","","","","","","English","","","","","","","WOS:000406853600139","","/Users/lillian/Zotero/storage/K2PV5EHK/Flint et al. - 2017 - The impact of environmental factors on marine turt.pdf","","coastal; freshwater; heat; downloaded by Lillian; drought; ecology; variability; temperature; australia; climate events; conservation; dugongs; extreme; hervey-bay; queensland; seagrass; downloaded by Rachel; marine; storm; downloaded by Brandon; downloaded by Jenna; fresh; downloaded by Alex; excluded - modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EF86RFS8","journalArticle","2013","Spyropoulou, Alexandra; Spatharis, Sofie; Papantoniou, Georgia; Tsirtsis, George","Potential response to climate change of a semi-arid coastal ecosystem in eastern Mediterranean","Hydrobiologia","","0018-8158, 1573-5117","10.1007/s10750-012-1384-6","http://link.springer.com/10.1007/s10750-012-1384-6","Eastern Mediterranean gulfs, adjacent to small semi-arid watersheds are particularly susceptible to climate changes. In this study, an analysis was performed for air temperature and rainfall during 1955–2010 over a coastal ecosystem in NE Aegean, and potential effects of recent changes on the physical setting and ecological status of the marine system were studied. A trend toward drier conditions was revealed, and in order to assess possible effects on the surrounding basin, a watershed model was applied. In addition, the hydrology and ecology of the marine ecosystem were studied using a water budget model along with available ﬁeld data. Based on local climatological data, dryness may lead to a decrease of one to two orders of magnitude in the amount of runoff during a dry annual cycle, resulting to a ﬁvefold increase in the residence time of the marine system. High residence time associated with terrestrial nutrient inputs and strong stratiﬁcation result to phytoplankton blooms during winter, including harmful algal blooms.","2013-03","2019-02-10 01:20:22","2019-03-27 00:26:58","2019-02-10 00:42:57","87-99","","1","705","","","","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/88BK4MPS/Spyropoulou et al. - 2013 - Potential response to climate change of a semi-ari.pdf","","coastal; heat; temperature; downloaded by Rachel; marine; storm; downloaded by Brandon; downloaded by Alex; excluded - long-term trends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4KF3DFTM","journalArticle","2002","Miller, Douglas C; Muir, Christine L; Hauser, Olivia A","Detrimental effects of sedimentation on marine benthos: what can be learned from natural processes and rates?","Ecological Engineering","","09258574","10.1016/S0925-8574(02)00081-2","http://linkinghub.elsevier.com/retrieve/pii/S0925857402000812","Benthic organisms are adapted to the natural processes of sediment movement, erosion and deposition. Laboratory studies have cataloged the range of responses to flow and sediment movement that allow benthos to survive, and even to thrive, under intense, storm-driven sediment movement. Extreme sedimentation events also result from man’s modifications of the nearshore marine environment, and the scale and magnitude of these alterations can often greatly exceed that of natural occurrences. Unfortunately, there is little of the quantitative information necessary for predicting how materials placement, sediment deposition and erosion will affect the ecology of these environments. We are using both field and laboratory approaches in Delaware Bay to address two questions. First, what rates and frequencies of sediment movement characterize natural events, and second, what rates and frequencies are detrimental to representative benthic species and functional groups. We present these results as case studies that address ecological impacts of dredge materials placement, site selection and benthic community responses. Quantifying natural sedimentation rates and the susceptibility of macrofauna by functional groups are both critical to reliably predicting environmental impacts. If biological effects are parameterized appropriately (i.e. in terms of natural processes), it may be possible to employ the existing knowledge-base of benthic ecology to predict effects of disturbances and to design projects that will minimize these impacts. Materials placement that is analogous to natural events should allow community responses to follow natural seasonal and successional trends and to exhibit minimal anthropogenic impacts. When sedimentation exceeds natural thresholds, then impacts may involve total loss of the community and subsequent colonization by pioneer species. In this latter case, an entirely different suite of ecological processes will drive impacts and recovery, potentially leading to dramatically altered benthic communities. Understanding organisms’ sublethal responses and drawing on experimental ecological studies will lead to improved prediction of benthic community responses and more reliable assessment of project impacts. # 2002 Elsevier Science B.V. All rights reserved.","2002-09","2019-02-10 01:20:22","2019-03-31 20:15:38","2019-02-10 00:42:37","211-232","","3","19","","","Detrimental effects of sedimentation on marine benthos","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/QHM9K4Y7/Miller et al. - 2002 - Detrimental effects of sedimentation on marine ben.pdf","","coastal; downloaded by Rachel; marine; storm; downloaded by Alex; excluded- no new ecological data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7C62S9N","journalArticle","2017","Ciric, Danica; Nieto, Raquel; Ramos, Alexandre; Drumond, Anita; Gimeno, Luis","Wet Spells and Associated Moisture Sources Anomalies across Danube River Basin","Water","","2073-4441","10.3390/w9080615","http://www.mdpi.com/2073-4441/9/8/615","The Danube River Basin is the second longest catchment basin in Europe and exhibits intense climatological diversity. In recent decades, the frequency and intensity of daily precipitation extremes have suffered from an increment in many parts of the world, including Central and Eastern Europe. Wet spells are deﬁned by the number of consecutive rainy days with different thresholds. The identiﬁcation of wet spells and their trends in the rainfall time is very important for many sectors, such as agriculture, ecology, hydrology and water resources. Wet spells can lead to extreme events and cause ﬂoods and other disasters. In this study, we will attempt to characterise global precipitation in the context of wet spells and associated precipitation depth of wet spells in the Danube River Basin area using daily precipitation data, as well as analysing different approaches to identifying wet spells. The ten most intense wet spells were detected, and the most intense, which occurred on 23 September 1996, was studied in depth in terms of precipitation and associated anomalies, the synoptic situation and the anomalous transport of moisture using a Lagrangian approach. The existence of a marked west-east dipole in the ﬁeld of sea level pressure between the Atlantic Ocean and the eastern Mediterranean leads to the anomalous moisture transport from the Northern Atlantic Ocean to the Mediterranean Sea, where a higher available amount of moisture existed, and subsequently penetrated within the low positioned over the Danube River Basin. In addition, an Atmospheric River was also responsible for the wet conditions in the Danube River Basin. The combination of all these factors was responsible for the extreme precipitation linked with the wet spell.","2017-08-17","2019-02-10 01:20:22","2019-04-20 14:17:49","2019-02-10 00:43:15","615","","8","9","","","","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/Z9QNPUQT/Ciric et al. - 2017 - Wet Spells and Associated Moisture Sources Anomali.pdf","","freshwater; downloaded by Rachel; marine; storm; downloaded by Brandon; excluded - not about ecology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2AH49AQ","journalArticle","2013","Schneider, Leah J.; Bralower, Timothy J.; Kump, Lee R.; Patzkowsky, Mark E.","Calcareous nannoplankton ecology and community change across the Paleocene-Eocene Thermal Maximum","Paleobiology","","0094-8373, 1938-5331","10.1666/12050","https://www.cambridge.org/core/product/identifier/S0094837300001469/type/journal_article","The Paleocene-Eocene Thermal Maximum (PETM; ca. 55.8 Ma) is thought to coincide with a profound but entirely transient change among nannoplankton communities throughout the ocean. Here we explore the ecology of nannoplankton during the PETM by using multivariate analyses of a global data set that is based upon the distribution of taxa in time and space. We use these results, coupled with stable isotope data and geochemical modeling, to reinterpret the ecology of key genera. The results of the multivariate analyses suggest that the community was perturbed significantly in coastal and high-latitudes sites compared to the open ocean, and the relative influence of temperature and nutrient availability on the assemblage varies regionally. The open ocean became more stratified and less productive during the PETM and the oligotrophic assemblage responded primarily to changes in nutrient availability. Alternatively, assemblages at the equator and in the Southern Ocean responded to temperature more than to nutrient reduction. In addition, the assemblage change at the PETM was not merely transient—there is evidence of adaptation and a long-term change in the nannoplankton community that persists after the PETM and results in the disappearance of a high-latitude assemblage. The long-term effect on communities caused by transient warming during the PETM has implications for modern-day climate change, suggesting similar permanent changes to nannoplankton community structure as the oceans warm.","2013","2019-02-12 05:19:50","2019-03-26 00:54:55","2019-02-12 05:19:50","628-647","","04","39","","","","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/6Y29P6N4/Schneider et al. - 2013 - Calcareous nannoplankton ecology and community cha.pdf","","freshwater; downloaded by Lillian; temperature; excluded - paleo, not modern extreme event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WXXENRBB","journalArticle","2017","Alexander, Karen E.; Leavenworth, William B.; Willis, Theodore V.; Hall, Carolyn; Mattocks, Steven; Bittner, Steven M.; Klein, Emily; Staudinger, Michelle; Bryan, Alexander; Rosset, Julianne; Carr, Benjamin H.; Jordaan, Adrian","Tambora and the mackerel year: Phenology and fisheries during an extreme climate event","Science Advances","","2375-2548","10.1126/sciadv.1601635","http://advances.sciencemag.org/lookup/doi/10.1126/sciadv.1601635","","2017-01","2019-02-12 05:55:02","2019-04-17 12:41:01","2019-02-12 05:55:02","e1601635","","1","3","","","Tambora and the mackerel year","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/RWKIWRVU/Alexander et al. - 2017 - Tambora and the mackerel year Phenology and fishe.pdf","","coastal; freshwater; heat; downloaded by Lillian; temperature; marine; downloaded by Brandon; downloaded by Alex; exclude - historical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E6XW89N","journalArticle","2016","Slater, Louise J.; Villarini, Gabriele","Recent trends in U.S. flood risk: Recent Trends in U.S. Flood Risk","Geophysical Research Letters","","00948276","10.1002/2016GL071199","http://doi.wiley.com/10.1002/2016GL071199","Flooding is projected to become more frequent as warming temperatures amplify the atmosphere’s water holding capacity and increase the occurrence of extreme precipitation events. However, there is still little evidence of regional changes in ﬂood risk across the USA. Here we present a novel approach assessing the trends in inundation frequency above the National Weather Service’s four ﬂood level categories in 2042 catchments. Results reveal stark regional patterns of changing ﬂood risk that are broadly consistent above the four ﬂood categories. We show that these patterns are dependent on the overall wetness and potential water storage, with fundamental implications for water resources management, agriculture, insurance, navigation, ecology, and populations living in ﬂood-affected areas. Our ﬁndings may assist in a better communication of changing ﬂood patterns to a wider audience compared with the more traditional approach of stating trends in terms of discharge magnitudes and frequencies.","2016-12-28","2019-02-12 05:59:16","2019-03-26 01:08:58","2019-02-12 05:59:16","12,428-12,436","","24","43","","","Recent trends in U.S. flood risk","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/G7ZS2ED9/Slater and Villarini - 2016 - Recent trends in U.S. flood risk Recent Trends in.pdf","","freshwater; downloaded by Lillian; temperature; storm; downloaded by Brandon; excluded - modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERURWWJA","journalArticle","2018","Mallen-Cooper, M; Zampatti, B.P.","History, hydrology and hydraulics: Rethinking the ecological management of large rivers","Ecohydrology","","","10.1002/eco.1965","https://onlinelibrary-wiley-com.ezproxy.proxy.library.oregonstate.edu/doi/epdf/10.1002/eco.1965","","2018","2019-02-12 18:52:47","2019-03-31 20:02:40","2019-02-12 18:52:47","","","e1965","11","","","","","","","","","","","","","","","","","","","/Users/lillian/Zotero/storage/6JVM9VVR/Mallen-Cooper and Zampatti - 2018 - History, hydrology and hydraulics Rethinking the .pdf","","drought; downloaded by Jenna; fresh; excluded - historical data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
