"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZALTI6I4","journalArticle","2012","Diez, Jeffrey M; D'Antonio, Carla M; Dukes, Jeffrey S; Grosholz, Edwin D; Olden, Julian D; Sorte, Cascade JB; Blumenthal, Dana M; Bradley, Bethany A; Early, Regan; Ibáñez, Inés; Jones, Sierra J; Lawler, Joshua J; Miller, Luke P","Will extreme climatic events facilitate biological invasions?","Frontiers in Ecology and the Environment","","1540-9295","10.1890/110137","http://doi.wiley.com/10.1890/110137","","2012-06","2019-01-29 18:30:40","2019-03-15 15:05:36","2019-01-29 18:30:40","249-257","","5","10","","","","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/9FE6EG96/Diez et al. - 2012 - Will extreme climatic events facilitate biological.pdf","","freshwater; heat; downloaded by Lillian; drought; storm; downloaded by Brandon; downloaded by Jenna; fresh; excluded - review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGZXS22X","journalArticle","2013","Froelich, Brett; Bowen, James; Gonzalez, Raul; Snedeker, Alexandra; Noble, Rachel","Mechanistic and statistical models of total Vibrio abundance in the Neuse River Estuary","Water Research","","0043-1354","10.1016/j.watres.2013.06.050","","Bacteria in the genus Vibrio are ubiquitous to estuarine waters worldwide and are often the dominant genus recovered from these environments. This genus contains several potentially pathogenic species, including Vibrio vulnificus, Vibrio cholerae, Vibrio parahaemolyticus, and Vibrio alginolyticus. These bacteria have short generation times, as low as 20-30 min, and can thus respond rapidly to changing environmental conditions. A five-parameter mechanistic model was generated based on environmental processes including hydrodynamics, growth, and death rates of Vibrio bacteria to predict total Vibrio abundance in the Neuse River Estuary of eastern North Carolina. Additionally an improved statistical model was developed using the easily monitored parameters of temperature and salinity. This updated model includes data that covers more than eight years of constant bacterial monitoring, and incorporates extreme weather events such as droughts, storms, and floods. These models can be used to identify days in which bacterial abundance might coincide with increased health risks. (C) 2013 Elsevier Ltd. All rights reserved.","2013-10-01","2019-02-08 16:24:01","2019-03-15 16:28:38","","5783-5793","","15","47","","Water Res.","","","","","","","","English","","","","","","","WOS:000326212500031","","/Users/lillian/Zotero/storage/H6YUD9AK/Froelich et al. - 2013 - Mechanistic and statistical models of total Vibrio.pdf","","coastal; freshwater; heat; downloaded by Lillian; drought; ecology; bacteria; dynamics; Forecast; ModMon; Monitoring; north-carolina; oysters; perspectives; salinity; Salinity; Temperature; variability; vulnificus; waters; temperature; downloaded by Rachel; storm; downloaded by Brandon; downloaded by Jenna; fresh; downloaded by Alex; excluded - modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MLM4YN7D","journalArticle","2016","Jimenez, Ana Gabriela; Alves, Shaina; Dallmer, Jeremiah; Njoo, Edward; Roa, Selina; Dowd, W. Wesley","Acclimation to elevated emersion temperature has no effect on susceptibility to acute, heat-induced lipid peroxidation in an intertidal mussel (Mytilus californianus)","Marine Biology","","0025-3162","10.1007/s00227-016-2828-8","","Organisms inhabiting the rocky intertidal zone must tolerate both aquatic and terrestrial stresses encountered over the tidal cycle, particularly those that occur during emersion such as desiccation, hypoxia, and thermal stress. We tested whether episodic exposure to elevated body temperatures that are possible in future climate scenarios leads to up-regulation of the antioxidant defense system or, alternatively, to accumulation of oxidative damage. We quantified antioxidant capacities against peroxyl and hydroxyl radicals, catalase enzymatic activity, and lipid peroxidation-a form of oxidative damage-in gill, mantle, and adductor muscle from mussels (Mytilus californianus) exposed to three treatments for 4 weeks: immersed continuously in seawater (15 +/- 1 degrees C), exposed to moderate temperature air (21.8 +/- 0.1 degrees C) for 4 h per day, or exposed to warm air (30 +/- 0.1 degrees C) for 4 h per day. We quantified antioxidants and oxidative damage under both baseline conditions and following a common, acute heat stress challenge. Gill tissue accumulated lipid peroxidation damage during the acute thermal challenge independent of acclimation history, and this tissue expressed the lowest baseline levels of defense against peroxyl radicals that promote lipid peroxidation. There was no up-regulation of measured components of the antioxidant system in any tissue following the acclimation regimes. There was also no evidence for chronic accumulation of lipid oxidative damage. Based on these patterns, we hypothesize that the costs of repairing lipid peroxidation are less than the costs of mounting a constitutive, baseline antioxidant defense against extreme events that tend to be rare and relatively unpredictable in nature.","2016-03","2019-02-08 16:24:01","2019-03-18 17:07:54","","","","3","163","","Mar. Biol.","","","","","","","","English","","","","","","","WOS:000372302600011","","/Users/lillian/Zotero/storage/HFUVMMZF/Jimenez et al. - 2016 - Acclimation to elevated emersion temperature has n.pdf","","coastal; freshwater; heat; downloaded by Lillian; drought; temperature; biological-systems; capacity; climate-change; generation; history; hydroperoxides; mechanisms; oxidative stress; physiological ecology; xylenol   orange; downloaded by Rachel; downloaded by Jenna; fresh; downloaded by Alex; excluded - experimental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9QTABUCF","journalArticle","2018","Livore, J. P.; Mendez, M. M.; Bigatti, G.; Marquez, F.","Habitat-modulated shell shape and spatial segregation in a Patagonian false limpet (Siphonaria lessonii)","Marine Ecology Progress Series","","0171-8630","10.3354/meps12777","","Environmental stressors that characterize intertidal habitats, such as exposure to air, thermal amplitude and wave action, influence biological patterns of distribution. The effects of these stressors on intertidal organisms are often associated with their shape and size. Rocky intertidal shores in Patagonia are particularly stressful environments in which a species of false limpet occurs abundantly in 2 contrasting habitats. Here we describe size and shape segregation of the false limpet Siphonaria lessonii across multiple shores on 2 contrasting shore levels where limpets are abundant, namely the high (HT) and mid (MT) intertidal. We tested for differences in resistance to desiccation, and recovery from heat stress, and were able to define 2 ecomorphs using classic and geometric morphometrics analysis. Individuals from the HT lost significantly less water under stressful heat conditions, and showed higher recovery rates than those from the MT. Limpets from the HT had a broad aperture, flatter margin and larger size. In contrast, individuals from the MT had a narrow aperture, arched margin and smaller size. Together these results suggest the existence of 2 ecomorphs modulated by each contrasting habitat. The observed small-scale spatial segregation of the 2 ecomorphs may provide ecological advantages by allowing the exploitation of resources from 2 different habitats. The 2 ecomorphs may provide S. lessonii with a broad thermal tolerance breadth, potentially improving resistance of the species to extreme climatic events.","2018-11-15","2019-02-08 16:24:01","2019-03-18 17:29:40","","55-63","","","606","","Mar. Ecol.-Prog. Ser.","","","","","","","","English","","","","","","","WOS:000450352900005","","/Users/lillian/Zotero/storage/EU98ED84/Livore et al. - 2018 - Habitat-modulated shell shape and spatial segregat.pdf","","coastal; heat; downloaded by Lillian; drought; ecology; temperature; cellana-tramoserica; competition; diversity; growth; Heat stress; Intertidal; marine snail; new-south-wales; organisms; rocky shores; Rocky shores; Siphonaria; zonation patterns; downloaded by Rachel; marine; downloaded by Brandon; downloaded by Alex; Exclude - not extreme event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZ68KGVY","journalArticle","1998","Villalba, R.; Veblen, T. T.","Influences of large-scale climatic variability on episodic tree mortality in northern Patagonia","Ecology","","0012-9658","","","In the context of potential-global warming, it is critical that ecologists bridge the typically local spatial scale of ecology to the regional scale of climatology by linking ecosystem responses to variations in the large-scale synoptic controls of regional climates. In northern Patagonia, Argentina, we related regional-scale tree mortality events over the past similar to 100 years to annual and decadal-scale climatic variations associated with changes in the major synoptic climatic controls of the southeastern Pacific region, including the El Ni (n) over tilde o-Southern Oscillation (ENSO). In nine stands of Austrocedrus chilensis, a xeric conifer, we used dendrochronological techniques to date the outermost tree ring on dead-standing and fallen trees to estimate the dates of tree death for 336 trees. To evaluate climatic conditions during periods of high tree mortality, we used regional records of precipitation and temperature from six climate stations and also used a regional set of 24 tree ring chronologies from Austrocedrus. Good preservation of the resinous wood of Austrocedrus allowed relatively precise dating of tree deaths over the past similar to 90 years. Episodes of massive tree mortality coincide with exceptionally dry springs and summers during the 1910s, 1942-1943, and the; 1950s. Although there is a general regional synchroneity of tree death associated with drought, intra-regional variations in the intensity of droughts, as interpolated and mapped from the regional network of tree ring chronologies, are also reflected by north-to-south variations in tree mortality patterns. Periods of drought and associated tree mortality during the 20th century in northern Patagonia are strongly associated with above average sea level atmospheric pressure off the coast of Chile at the same latitudes. Temperature and precipitation in northern Patagonia are highly influenced by the intensity and latitudinal position of the southeastern Pacific anticyclone, which, in turn, are greatly affected by ENSO. Tree mortality in northern Patagonia appears to be intensified by extreme events of the Southern Oscillation and is more strongly coincident with El Ni (n) over tilde o events along the coast of northern Peru. These results, in combination with previously established climatic influences on fire occurrence and tree seedling establishment, strongly link stand-level and regional-scale forest dynamic processes in northern Patagonia with variations in large-scale atmospheric conditions.","1998-12","2019-02-08 16:24:01","2019-03-13 02:08:52","","2624-2640","","8","79","","Ecology","","","","","","","","English","","","","","","","WOS:000077501000005","","/Users/lillian/Zotero/storage/BWI7SKCH/Villalba and Veblen - 1998 - INFLUENCES OF LARGE-SCALE CLIMATIC VARIABILITY ON .pdf","","coastal; heat; drought; patterns; dynamics; argentina; Austrocedrus chilensis; chile; climatic variability; dendrochronology; El Nino Southern Oscillation; fire; forest dynamics; forest-steppe ecotone; hemisphere; northern Patagonia; rain-forest; regeneration; southern oscillation; tree   mortality; downloaded by Rachel; storm; downloaded by Alex; excluded because not aquatic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WIWQVB68","journalArticle","2016","Williams, Jason D.; Boyko, Christopher B.","Introduction to the Symposium: Parasites and Pests in Motion: Biology, Biodiversity and Climate Change","Integrative and Comparative Biology","","1540-7063, 1557-7023","10.1093/icb/icw085","https://academic.oup.com/icb/article-lookup/doi/10.1093/icb/icw085","","2016-10","2019-02-10 01:20:22","2019-03-13 02:23:21","2019-02-10 01:03:49","556-560","","4","56","","","Introduction to the Symposium","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/N8YYA2VM/Williams and Boyko - 2016 - Introduction to the Symposium Parasites and Pests.pdf","","temperature; downloaded by Rachel; marine; storm; downloaded by Brandon; excluded because symposium overview","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YDQNF37N","journalArticle","2016","Trancart, Thomas; Feunteun, Eric; Lefrançois, Christel; Acou, Anthony; Boinet, Christophe; Carpentier, Alexandre","Difference in responses of two coastal species to fluctuating salinities and temperatures: Potential modification of specific distribution areas in the context of global change","Estuarine, Coastal and Shelf Science","","02727714","10.1016/j.ecss.2016.02.012","https://linkinghub.elsevier.com/retrieve/pii/S0272771416300555","In the past several years, all numerical models have forecasted an increase in extreme climatic events linked to global change. Estuarine waters at the interface of marine and freshwater bodies are among the most volatile ecosystems, particularly for aquatic species, and will be strongly inﬂuenced by the temperature with extreme ﬂooding events. This study aimed to quantify the acclimation capacity of coastal ﬁsh species to estuarine plume modiﬁcations. The thicklip mullet (Chelon labrosus) and European seabass (Dicentrarchus labrax) were selected as representative species of estuarine ecological guilds. These ﬁsh were subjected to an experiment mimicking a brief freshwater intrusion (35e5). These experiments were conducted at two different temperatures that these two species would encounter during their incursion from the sea through estuarine waters to freshwater habitats. The experimental results conﬁrmed the high capacity for acclimation of both species to changes in salinity and temperature. Interspeciﬁc differences were observed. For example, the salinity has a greater effect on the metabolism of the seabass than on that of the mullets. Meanwhile, the temperature has a greater effect on the mullets. These differences in metabolic responses to ﬂuctuating salinities and temperatures may modify the use of estuarine waters by these species and should be considered when predicting future speciﬁc distribution areas in the context of global change.","2016-05","2019-02-10 01:20:22","2019-03-13 02:02:01","2019-02-10 00:43:12","9-15","","","173","","","Difference in responses of two coastal species to fluctuating salinities and temperatures","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/BTNS7S9Y/Trancart et al. - 2016 - Difference in responses of two coastal species to .pdf","","coastal; freshwater; heat; downloaded by Lillian; temperature; downloaded by Rachel; marine; storm; downloaded by Brandon; downloaded by Alex; excluded because experimental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UJDGFPH5","journalArticle","","Smith, Craig R","Tempo and Mode in Deep-Sea Benthic Ecology: Punctuated Equilibrium Revisited","","","","","","","","2019-02-10 01:20:22","2019-03-11 23:49:26","","12","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/lillian/Zotero/storage/HJZLS9S9/Smith - Tempo and Mode in Deep-Sea Benthic Ecology Punctu.pdf","","downloaded by Rachel; marine; storm; excluded - review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDFDL4IE","journalArticle","2013","Shen, J.; Lei, Y.; Algeo, T. J.; Feng, Q.; Servais, T.; Yu, J.; Zhou, L.","VOLCANIC EFFECTS ON MICROPLANKTON DURING THE PERMIAN-TRIASSIC TRANSITION (SHANGSI AND XINMIN, SOUTH CHINA)","PALAIOS","","0883-1351","10.2110/palo.2013.p13-014r","https://pubs.geoscienceworld.org/palaios/article/28/8/552-567/146355","The end-Permian mass extinction, the most severe biocrisis in Earth history, has been attributed to major flood basalt volcanism, but direct evidence of volcanic effects on contemporaneous marine biotas is scarce. In this study, we examined the relationship of two components of the microplankton community (acritarchs and radiolarians) to volcanic ash deposits in two deepwater sections from South China (Shangsi and Xinmin). In these sections, each eruptive event was recorded as a volcanic couplet consisting of a pale, 0.1 to 3.0-cm-thick bentonite (altered volcanic ash) overlain by a dark, 0.1- to 1.0-cm-thick, organic-rich mudstone layer. Acritarchs were found in peak abundance in the mudstone overlying each ash layer but were otherwise present only in low concentrations in the background sediment. In contrast, radiolarians were rare in the volcanic couplets but frequently abundant in the background intervals. The thickest volcanic ash layers in both sections are found immediately below and above the latest Permian mass extinction (LPME) horizon. At this level, radiolarians underwent a major regional extinction but acritarchs reached their peak abundance, confirming their role as a disaster taxon. Above the LPME, long-spined and small spherical acritarchs declined more rapidly than short-spined forms. The preference of the short-spined acritarchs for neritic inner-shelf facies may indicate that such areas served as biotic refugia during intervals of extreme environmental stress. We infer that volcanic eruptions during the Permian–Triassic transition had both positive effects (e.g., increased nutrient supply) and negative effects (e.g., metal toxicity, lowered seawater pH, increased turbidity) on marine microplankton communities, the importance of which varied both spatially and temporally.","2013-09-20","2019-02-10 01:20:22","2019-03-11 23:37:04","2019-02-10 00:42:58","552-567","","8","28","","","","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/YQS5SVL8/Shen et al. - 2013 - VOLCANIC EFFECTS ON MICROPLANKTON DURING THE PERMI.pdf","","downloaded by Rachel; marine; storm; excluded - paleo, not modern extreme event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJG26D22","journalArticle","2010","Pearlstine, Leonard G.; Pearlstine, Elise V.; Aumen, Nicholas G.","A review of the ecological consequences and management implications of climate change for the Everglades","Journal of the North American Benthological Society","","0887-3593, 1937-237X","10.1899/10-045.1","https://www.journals.uchicago.edu/doi/10.1899/10-045.1","Southern Florida’s Everglades are at the front line of potential negative effects on aquatic ecosystems from climate change and associated sea-level rise. A diversity of aquatic habitats supports a rich assemblage of aquatic and terrestrial wildlife, including 36 vertebrates and 26 plant species federally listed as endangered, threatened, or candidate species. Anticipated climate-change trends for southern Florida include increased weather uncertainty with more droughts, higher temperatures, and an increased number of more intense storms. Hydrologic regimes, temperature, and CO2 have been strongly correlated with plant community structure, coral and fish abundance and diversity, and higher trophic-level responses. Higher levels of variability in extreme climatic events, such as droughts, have the potential to destabilize aquatic communities. Sea-level rise is expected to be 0.8 to 2 m over the next century, a serious problem in a landscape that rises only 5 cm/km from Florida Bay inland. Wading birds and other wildlife species dependent on fresh water are likely to decline because of salt-water overwash and inundation. In addition to causing habitat loss, saltwater inundation of the peat substrate of Everglades freshwater wetlands may increase C emissions from sequestered C released as peat is destroyed and freshwater plant communities die. Identification of those species and habitats most at risk and ways to increase habitat and landscape resilience to large-scale environmental change will be critical for maintaining a diverse and productive Everglades.","2010-12","2019-02-10 01:20:22","2019-03-11 23:12:10","2019-02-10 00:42:50","1510-1526","","4","29","","","","","","","","","","en","","","","","Crossref","","","","/Users/lillian/Zotero/storage/4IBAS9UW/Pearlstine et al. - 2010 - A review of the ecological consequences and manage.pdf","","freshwater; downloaded by Lillian; drought; temperature; downloaded by Rachel; marine; storm; downloaded by Brandon; downloaded by Jenna; fresh; excluded - review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
